seqnames	start	end	width	strand
NC_000001.11	2228867	2228867	1	*
NC_000001.11	2228869	2228869	1	*
NC_000001.11	2228870	2228870	1	*
NC_000001.11	2229031	2229031	1	*
NC_000001.11	2229113	2229113	1	*
NC_000001.11	2229115	2229115	1	*
NC_000001.11	2229115	2229115	1	*
NC_000001.11	2406483	2406483	1	*
NC_000001.11	2406514	2406514	1	*
NC_000001.11	2406515	2406515	1	*
NC_000001.11	2406561	2406561	1	*
NC_000001.11	2406569	2406569	1	*
NC_000001.11	2406750	2406750	1	*
NC_000001.11	2406766	2406766	1	*
NC_000001.11	2406793	2406793	1	*
NC_000001.11	2408451	2408451	1	*
NC_000001.11	2408510	2408510	1	*
NC_000001.11	2408679	2408679	1	*
NC_000001.11	2408700	2408700	1	*
NC_000001.11	2408833	2408833	1	*
NC_000001.11	2408843	2408843	1	*
NC_000001.11	2412500	2412500	1	*
NC_000001.11	2412501	2412501	1	*
NC_000001.11	2412502	2412502	1	*
NC_000001.11	2520467	2520467	1	*
NC_000001.11	3385247	3385247	1	*
NC_000001.11	3412301	3412301	1	*
NC_000001.11	3414616	3414616	1	*
NC_000001.11	3722204	3722204	1	*
NC_000001.11	3728137	3728137	1	*
NC_000001.11	3729449	3729449	1	*
NC_000001.11	3816372	3816372	1	*
NC_000001.11	3829955	3829955	1	*
NC_000001.11	3835059	3835059	1	*
NC_000001.11	3837516	3837516	1	*
NC_000001.11	3839047	3839047	1	*
NC_000001.11	3839096	3839096	1	*
NC_000001.11	3839606	3839606	1	*
NC_000001.11	3839700	3839700	1	*
NC_000001.11	3844977	3844977	1	*
NC_000001.11	3848732	3848732	1	*
NC_000001.11	3848738	3848738	1	*
NC_000001.11	5864006	5864006	1	*
NC_000001.11	5865152	5865152	1	*
NC_000001.11	5865218	5865218	1	*
NC_000001.11	5866372	5866372	1	*
NC_000001.11	5866372	5866372	1	*
NC_000001.11	5867754	5867754	1	*
NC_000001.11	5867794	5867794	1	*
NC_000001.11	5867887	5867887	1	*
NC_000001.11	5873285	5873285	1	*
NC_000001.11	5874506	5874506	1	*
NC_000001.11	5874946	5874946	1	*
NC_000001.11	5877137	5877137	1	*
NC_000001.11	5877275	5877275	1	*
NC_000001.11	5877284	5877284	1	*
NC_000001.11	5880113	5880113	1	*
NC_000001.11	5880113	5880113	1	*
NC_000001.11	5880114	5880114	1	*
NC_000001.11	5887394	5887394	1	*
NC_000001.11	5887403	5887403	1	*
NC_000001.11	5887436	5887436	1	*
NC_000001.11	5890867	5890867	1	*
NC_000001.11	5891029	5891029	1	*
NC_000001.11	5904716	5904716	1	*
NC_000001.11	5904749	5904749	1	*
NC_000001.11	5904788	5904788	1	*
NC_000001.11	5904806	5904806	1	*
NC_000001.11	5905311	5905311	1	*
NC_000001.11	5905404	5905404	1	*
NC_000001.11	5905443	5905443	1	*
NC_000001.11	5905690	5905690	1	*
NC_000001.11	5927733	5927733	1	*
NC_000001.11	5927754	5927754	1	*
NC_000001.11	5933221	5933221	1	*
NC_000001.11	5947148	5947148	1	*
NC_000001.11	5952717	5952717	1	*
NC_000001.11	5952825	5952825	1	*
NC_000001.11	5961950	5961950	1	*
NC_000001.11	5967298	5967298	1	*
NC_000001.11	5967299	5967299	1	*
NC_000001.11	5978374	5978374	1	*
NC_000001.11	5986157	5986157	1	*
NC_000001.11	5986179	5986179	1	*
NC_000001.11	5986211	5986211	1	*
NC_000001.11	5986215	5986215	1	*
NC_000001.11	5986278	5986278	1	*
NC_000001.11	6121165	6121165	1	*
NC_000001.11	6125765	6125765	1	*
NC_000001.11	6154828	6154828	1	*
NC_000001.11	6155648	6155648	1	*
NC_000001.11	6440252	6440252	1	*
NC_000001.11	6451602	6451602	1	*
NC_000001.11	6451602	6451602	1	*
NC_000001.11	6451926	6451926	1	*
NC_000001.11	6452092	6452092	1	*
NC_000001.11	6460077	6460077	1	*
NC_000001.11	6468048	6468048	1	*
NC_000001.11	6468294	6468294	1	*
NC_000001.11	6468567	6468567	1	*
NC_000001.11	6469049	6469049	1	*
NC_000001.11	6469118	6469118	1	*
NC_000001.11	6469133	6469133	1	*
NC_000001.11	6469142	6469142	1	*
NC_000001.11	6469145	6469145	1	*
NC_000001.11	6469229	6469229	1	*
NC_000001.11	6469238	6469238	1	*
NC_000001.11	6470298	6470298	1	*
NC_000001.11	6470542	6470542	1	*
NC_000001.11	6471055	6471055	1	*
NC_000001.11	6471068	6471068	1	*
NC_000001.11	6471093	6471093	1	*
NC_000001.11	6471639	6471639	1	*
NC_000001.11	6471761	6471761	1	*
NC_000001.11	6472554	6472554	1	*
NC_000001.11	6472624	6472624	1	*
NC_000001.11	6473061	6473061	1	*
NC_000001.11	6474527	6474527	1	*
NC_000001.11	6475485	6475485	1	*
NC_000001.11	6477569	6477569	1	*
NC_000001.11	7091340	7091340	1	*
NC_000001.11	7249592	7249592	1	*
NC_000001.11	7664294	7664294	1	*
NC_000001.11	7664375	7664375	1	*
NC_000001.11	7665186	7665186	1	*
NC_000001.11	7736419	7736419	1	*
NC_000001.11	7744883	7744883	1	*
NC_000001.11	7751253	7751253	1	*
NC_000001.11	7751289	7751289	1	*
NC_000001.11	7752496	7752496	1	*
NC_000001.11	7962863	7962863	1	*
NC_000001.11	7962867	7962867	1	*
NC_000001.11	7965348	7965348	1	*
NC_000001.11	7965366	7965366	1	*
NC_000001.11	7965425	7965425	1	*
NC_000001.11	7970963	7970963	1	*
NC_000001.11	7984981	7984981	1	*
NC_000001.11	8356159	8356159	1	*
NC_000001.11	8358216	8358216	1	*
NC_000001.11	8358231	8358231	1	*
NC_000001.11	8358232	8358232	1	*
NC_000001.11	8358235	8358235	1	*
NC_000001.11	8358238	8358238	1	*
NC_000001.11	8358242	8358242	1	*
NC_000001.11	8358264	8358264	1	*
NC_000001.11	8360361	8360361	1	*
NC_000001.11	8364056	8364056	1	*
NC_000001.11	9262261	9262261	1	*
NC_000001.11	9262273	9262273	1	*
NC_000001.11	9263569	9263569	1	*
NC_000001.11	9715622	9715622	1	*
NC_000001.11	9719984	9719984	1	*
NC_000001.11	9720793	9720793	1	*
NC_000001.11	9720907	9720907	1	*
NC_000001.11	9722080	9722080	1	*
NC_000001.11	9722083	9722083	1	*
NC_000001.11	9724078	9724078	1	*
NC_000001.11	9726972	9726972	1	*
NC_000001.11	9726985	9726985	1	*
NC_000001.11	9943503	9943503	1	*
NC_000001.11	9972074	9972074	1	*
NC_000001.11	9972098	9972098	1	*
NC_000001.11	9972126	9972126	1	*
NC_000001.11	9975590	9975590	1	*
NC_000001.11	9975616	9975616	1	*
NC_000001.11	9975641	9975641	1	*
NC_000001.11	9975672	9975672	1	*
NC_000001.11	9975681	9975681	1	*
NC_000001.11	9975730	9975730	1	*
NC_000001.11	9975731	9975731	1	*
NC_000001.11	9975747	9975747	1	*
NC_000001.11	9975769	9975769	1	*
NC_000001.11	9981050	9981050	1	*
NC_000001.11	9981107	9981107	1	*
NC_000001.11	9981171	9981171	1	*
NC_000001.11	9981175	9981175	1	*
NC_000001.11	9982318	9982318	1	*
NC_000001.11	9982361	9982361	1	*
NC_000001.11	9982368	9982368	1	*
NC_000001.11	9982480	9982480	1	*
NC_000001.11	9982490	9982490	1	*
NC_000001.11	9982504	9982504	1	*
NC_000001.11	9982509	9982509	1	*
NC_000001.11	9982541	9982541	1	*
NC_000001.11	9982570	9982570	1	*
NC_000001.11	9982571	9982571	1	*
NC_000001.11	9982577	9982577	1	*
NC_000001.11	9982582	9982582	1	*
NC_000001.11	9982630	9982630	1	*
NC_000001.11	9982678	9982678	1	*
NC_000001.11	9982699	9982699	1	*
NC_000001.11	10258602	10258602	1	*
NC_000001.11	10276398	10276398	1	*
NC_000001.11	10624339	10624339	1	*
NC_000001.11	10624405	10624405	1	*
NC_000001.11	10957732	10957732	1	*
NC_000001.11	11018836	11018836	1	*
NC_000001.11	11022196	11022196	1	*
NC_000001.11	11022268	11022268	1	*
NC_000001.11	11022290	11022290	1	*
NC_000001.11	11022292	11022292	1	*
NC_000001.11	11022301	11022301	1	*
NC_000001.11	11022352	11022352	1	*
NC_000001.11	11022400	11022400	1	*
NC_000001.11	11022418	11022418	1	*
NC_000001.11	11022437	11022437	1	*
NC_000001.11	11022444	11022444	1	*
NC_000001.11	11022451	11022451	1	*
NC_000001.11	11022464	11022464	1	*
NC_000001.11	11022532	11022532	1	*
NC_000001.11	11022553	11022553	1	*
NC_000001.11	11022556	11022556	1	*
NC_000001.11	11109317	11109317	1	*
NC_000001.11	11114329	11114329	1	*
NC_000001.11	11114338	11114338	1	*
NC_000001.11	11114338	11114338	1	*
NC_000001.11	11114363	11114363	1	*
NC_000001.11	11114380	11114380	1	*
NC_000001.11	11114402	11114402	1	*
NC_000001.11	11117039	11117039	1	*
NC_000001.11	11124516	11124516	1	*
NC_000001.11	11124516	11124516	1	*
NC_000001.11	11128107	11128107	1	*
NC_000001.11	11128107	11128107	1	*
NC_000001.11	11129789	11129789	1	*
NC_000001.11	11130747	11130747	1	*
NC_000001.11	11144735	11144735	1	*
NC_000001.11	11157173	11157173	1	*
NC_000001.11	11157173	11157173	1	*
NC_000001.11	11157242	11157242	1	*
NC_000001.11	11157245	11157245	1	*
NC_000001.11	11157255	11157255	1	*
NC_000001.11	11157273	11157273	1	*
NC_000001.11	11273836	11273836	1	*
NC_000001.11	11273866	11273866	1	*
NC_000001.11	11273886	11273886	1	*
NC_000001.11	11274042	11274042	1	*
NC_000001.11	11274055	11274055	1	*
NC_000001.11	11274060	11274060	1	*
NC_000001.11	11285670	11285670	1	*
NC_000001.11	11285809	11285809	1	*
NC_000001.11	11285822	11285822	1	*
NC_000001.11	11676926	11676926	1	*
NC_000001.11	11790681	11790681	1	*
NC_000001.11	11790768	11790768	1	*
NC_000001.11	11790843	11790843	1	*
NC_000001.11	11790916	11790916	1	*
NC_000001.11	11791206	11791206	1	*
NC_000001.11	11791209	11791209	1	*
NC_000001.11	11791211	11791211	1	*
NC_000001.11	11791235	11791235	1	*
NC_000001.11	11791244	11791244	1	*
NC_000001.11	11791248	11791248	1	*
NC_000001.11	11791260	11791260	1	*
NC_000001.11	11791276	11791276	1	*
NC_000001.11	11791277	11791277	1	*
NC_000001.11	11791302	11791302	1	*
NC_000001.11	11792276	11792276	1	*
NC_000001.11	11793905	11793905	1	*
NC_000001.11	11793907	11793907	1	*
NC_000001.11	11793937	11793937	1	*
NC_000001.11	11794029	11794029	1	*
NC_000001.11	11794357	11794357	1	*
NC_000001.11	11794385	11794385	1	*
NC_000001.11	11794408	11794408	1	*
NC_000001.11	11794443	11794443	1	*
NC_000001.11	11794443	11794443	1	*
NC_000001.11	11794538	11794538	1	*
NC_000001.11	11794724	11794724	1	*
NC_000001.11	11794753	11794753	1	*
NC_000001.11	11794765	11794765	1	*
NC_000001.11	11794823	11794823	1	*
NC_000001.11	11794825	11794825	1	*
NC_000001.11	11794826	11794826	1	*
NC_000001.11	11794848	11794848	1	*
NC_000001.11	11794853	11794853	1	*
NC_000001.11	11794862	11794862	1	*
NC_000001.11	11795114	11795114	1	*
NC_000001.11	11795116	11795116	1	*
NC_000001.11	11795161	11795161	1	*
NC_000001.11	11795166	11795166	1	*
NC_000001.11	11795294	11795294	1	*
NC_000001.11	11795330	11795330	1	*
NC_000001.11	11795349	11795349	1	*
NC_000001.11	11795350	11795350	1	*
NC_000001.11	11796205	11796205	1	*
NC_000001.11	11796205	11796205	1	*
NC_000001.11	11796208	11796208	1	*
NC_000001.11	11796222	11796222	1	*
NC_000001.11	11796306	11796306	1	*
NC_000001.11	11796313	11796313	1	*
NC_000001.11	11796399	11796399	1	*
NC_000001.11	11800214	11800214	1	*
NC_000001.11	11800250	11800250	1	*
NC_000001.11	11800251	11800251	1	*
NC_000001.11	11800275	11800275	1	*
NC_000001.11	11800303	11800303	1	*
NC_000001.11	11801160	11801160	1	*
NC_000001.11	11801162	11801162	1	*
NC_000001.11	11801166	11801166	1	*
NC_000001.11	11801177	11801177	1	*
NC_000001.11	11801185	11801185	1	*
NC_000001.11	11801190	11801190	1	*
NC_000001.11	11801248	11801248	1	*
NC_000001.11	11801299	11801299	1	*
NC_000001.11	11801400	11801400	1	*
NC_000001.11	11801401	11801401	1	*
NC_000001.11	11802884	11802884	1	*
NC_000001.11	11802915	11802915	1	*
NC_000001.11	11802915	11802915	1	*
NC_000001.11	11802940	11802940	1	*
NC_000001.11	11802941	11802941	1	*
NC_000001.11	11802962	11802962	1	*
NC_000001.11	11802963	11802963	1	*
NC_000001.11	11803115	11803115	1	*
NC_000001.11	11803115	11803115	1	*
NC_000001.11	11803116	11803116	1	*
NC_000001.11	11824504	11824504	1	*
NC_000001.11	11934782	11934782	1	*
NC_000001.11	11947985	11947985	1	*
NC_000001.11	11948044	11948044	1	*
NC_000001.11	11948065	11948065	1	*
NC_000001.11	11949878	11949878	1	*
NC_000001.11	11950421	11950421	1	*
NC_000001.11	11952736	11952736	1	*
NC_000001.11	11957856	11957856	1	*
NC_000001.11	11958627	11958627	1	*
NC_000001.11	11960649	11960649	1	*
NC_000001.11	11960685	11960685	1	*
NC_000001.11	11960768	11960768	1	*
NC_000001.11	11963629	11963629	1	*
NC_000001.11	11964228	11964228	1	*
NC_000001.11	11964253	11964253	1	*
NC_000001.11	11964274	11964274	1	*
NC_000001.11	11964680	11964680	1	*
NC_000001.11	11964787	11964787	1	*
NC_000001.11	11965542	11965542	1	*
NC_000001.11	11966985	11966985	1	*
NC_000001.11	11967007	11967007	1	*
NC_000001.11	11967034	11967034	1	*
NC_000001.11	11967047	11967047	1	*
NC_000001.11	11970727	11970727	1	*
NC_000001.11	11970749	11970749	1	*
NC_000001.11	11970750	11970750	1	*
NC_000001.11	11972875	11972875	1	*
NC_000001.11	11972917	11972917	1	*
NC_000001.11	11972977	11972977	1	*
NC_000001.11	11972994	11972994	1	*
NC_000001.11	11974656	11974656	1	*
NC_000001.11	11992584	11992584	1	*
NC_000001.11	11992606	11992606	1	*
NC_000001.11	11992654	11992654	1	*
NC_000001.11	11992659	11992659	1	*
NC_000001.11	11992659	11992659	1	*
NC_000001.11	11992660	11992660	1	*
NC_000001.11	11992689	11992689	1	*
NC_000001.11	11996157	11996157	1	*
NC_000001.11	11996158	11996158	1	*
NC_000001.11	11996170	11996170	1	*
NC_000001.11	11996178	11996178	1	*
NC_000001.11	11996226	11996226	1	*
NC_000001.11	11996280	11996280	1	*
NC_000001.11	11997296	11997296	1	*
NC_000001.11	11997315	11997315	1	*
NC_000001.11	11997315	11997315	1	*
NC_000001.11	11997316	11997316	1	*
NC_000001.11	11997319	11997319	1	*
NC_000001.11	11998739	11998739	1	*
NC_000001.11	11998787	11998787	1	*
NC_000001.11	11998799	11998799	1	*
NC_000001.11	11998808	11998808	1	*
NC_000001.11	11998817	11998817	1	*
NC_000001.11	11998828	11998828	1	*
NC_000001.11	11998862	11998862	1	*
NC_000001.11	11998875	11998875	1	*
NC_000001.11	11998997	11998997	1	*
NC_000001.11	11999009	11999009	1	*
NC_000001.11	11999009	11999009	1	*
NC_000001.11	11999025	11999025	1	*
NC_000001.11	11999030	11999030	1	*
NC_000001.11	11999031	11999031	1	*
NC_000001.11	11999054	11999054	1	*
NC_000001.11	11999055	11999055	1	*
NC_000001.11	12001402	12001402	1	*
NC_000001.11	12001423	12001423	1	*
NC_000001.11	12001464	12001464	1	*
NC_000001.11	12001506	12001506	1	*
NC_000001.11	12002014	12002014	1	*
NC_000001.11	12002021	12002021	1	*
NC_000001.11	12002024	12002024	1	*
NC_000001.11	12002028	12002028	1	*
NC_000001.11	12002033	12002033	1	*
NC_000001.11	12002034	12002034	1	*
NC_000001.11	12002034	12002034	1	*
NC_000001.11	12002069	12002069	1	*
NC_000001.11	12002070	12002070	1	*
NC_000001.11	12004029	12004029	1	*
NC_000001.11	12004083	12004083	1	*
NC_000001.11	12004614	12004614	1	*
NC_000001.11	12007217	12007217	1	*
NC_000001.11	12009641	12009641	1	*
NC_000001.11	12009651	12009651	1	*
NC_000001.11	12009693	12009693	1	*
NC_000001.11	12011504	12011504	1	*
NC_000001.11	12011510	12011510	1	*
NC_000001.11	12011513	12011513	1	*
NC_000001.11	12011542	12011542	1	*
NC_000001.11	12011547	12011547	1	*
NC_000001.11	12257090	12257090	1	*
NC_000001.11	12257939	12257939	1	*
NC_000001.11	12271041	12271041	1	*
NC_000001.11	12276904	12276904	1	*
NC_000001.11	12277157	12277157	1	*
NC_000001.11	12283511	12283511	1	*
NC_000001.11	12355976	12355976	1	*
NC_000001.11	12356092	12356092	1	*
NC_000001.11	12362718	12362718	1	*
NC_000001.11	12456014	12456014	1	*
NC_000001.11	12460363	12460363	1	*
NC_000001.11	12578905	12578905	1	*
NC_000001.11	15440344	15440344	1	*
NC_000001.11	15440525	15440525	1	*
NC_000001.11	15442462	15442462	1	*
NC_000001.11	15443438	15443438	1	*
NC_000001.11	15444605	15444605	1	*
NC_000001.11	15444632	15444632	1	*
NC_000001.11	15461640	15461640	1	*
NC_000001.11	15463390	15463390	1	*
NC_000001.11	15466145	15466145	1	*
NC_000001.11	15876395	15876395	1	*
NC_000001.11	15909361	15909361	1	*
NC_000001.11	15928344	15928344	1	*
NC_000001.11	15929748	15929748	1	*
NC_000001.11	15930585	15930585	1	*
NC_000001.11	15931068	15931068	1	*
NC_000001.11	15932298	15932298	1	*
NC_000001.11	15933384	15933384	1	*
NC_000001.11	15935248	15935248	1	*
NC_000001.11	15935271	15935271	1	*
NC_000001.11	15936267	15936267	1	*
NC_000001.11	16024773	16024773	1	*
NC_000001.11	16027432	16027432	1	*
NC_000001.11	16033225	16033225	1	*
NC_000001.11	16045683	16045683	1	*
NC_000001.11	16045686	16045686	1	*
NC_000001.11	16046534	16046534	1	*
NC_000001.11	16046579	16046579	1	*
NC_000001.11	16047917	16047917	1	*
NC_000001.11	16048352	16048352	1	*
NC_000001.11	16048537	16048537	1	*
NC_000001.11	16049137	16049137	1	*
NC_000001.11	16049172	16049172	1	*
NC_000001.11	16049616	16049616	1	*
NC_000001.11	16049858	16049858	1	*
NC_000001.11	16049917	16049917	1	*
NC_000001.11	16050593	16050593	1	*
NC_000001.11	16050598	16050598	1	*
NC_000001.11	16050887	16050887	1	*
NC_000001.11	16051476	16051476	1	*
NC_000001.11	16051544	16051544	1	*
NC_000001.11	16051721	16051721	1	*
NC_000001.11	16051724	16051724	1	*
NC_000001.11	16051725	16051725	1	*
NC_000001.11	16051737	16051737	1	*
NC_000001.11	16052349	16052349	1	*
NC_000001.11	16055461	16055461	1	*
NC_000001.11	16055508	16055508	1	*
NC_000001.11	16125304	16125304	1	*
NC_000001.11	16125329	16125329	1	*
NC_000001.11	16129440	16129440	1	*
NC_000001.11	16148442	16148442	1	*
NC_000001.11	16155892	16155892	1	*
NC_000001.11	16986904	16986904	1	*
NC_000001.11	16988455	16988455	1	*
NC_000001.11	16989708	16989708	1	*
NC_000001.11	16989739	16989739	1	*
NC_000001.11	16989761	16989761	1	*
NC_000001.11	16989886	16989886	1	*
NC_000001.11	16989961	16989961	1	*
NC_000001.11	16992019	16992019	1	*
NC_000001.11	16992022	16992022	1	*
NC_000001.11	16992345	16992345	1	*
NC_000001.11	16992506	16992506	1	*
NC_000001.11	16993721	16993721	1	*
NC_000001.11	16993828	16993828	1	*
NC_000001.11	16996008	16996008	1	*
NC_000001.11	16996059	16996059	1	*
NC_000001.11	16996262	16996262	1	*
NC_000001.11	16996381	16996381	1	*
NC_000001.11	17000466	17000466	1	*
NC_000001.11	17002051	17002051	1	*
NC_000001.11	17002312	17002312	1	*
NC_000001.11	17004690	17004690	1	*
NC_000001.11	17004805	17004805	1	*
NC_000001.11	17004817	17004817	1	*
NC_000001.11	17005449	17005449	1	*
NC_000001.11	17022607	17022607	1	*
NC_000001.11	17022615	17022615	1	*
NC_000001.11	17022648	17022648	1	*
NC_000001.11	17022649	17022649	1	*
NC_000001.11	17022649	17022649	1	*
NC_000001.11	17022650	17022650	1	*
NC_000001.11	17022650	17022650	1	*
NC_000001.11	17022670	17022670	1	*
NC_000001.11	17022676	17022676	1	*
NC_000001.11	17022684	17022684	1	*
NC_000001.11	17022684	17022684	1	*
NC_000001.11	17022685	17022685	1	*
NC_000001.11	17022719	17022719	1	*
NC_000001.11	17022720	17022720	1	*
NC_000001.11	17022723	17022723	1	*
NC_000001.11	17022724	17022724	1	*
NC_000001.11	17022724	17022724	1	*
NC_000001.11	17022724	17022724	1	*
NC_000001.11	17023971	17023971	1	*
NC_000001.11	17023972	17023972	1	*
NC_000001.11	17023972	17023972	1	*
NC_000001.11	17023974	17023974	1	*
NC_000001.11	17023975	17023975	1	*
NC_000001.11	17023992	17023992	1	*
NC_000001.11	17024008	17024008	1	*
NC_000001.11	17024012	17024012	1	*
NC_000001.11	17024013	17024013	1	*
NC_000001.11	17024015	17024015	1	*
NC_000001.11	17024015	17024015	1	*
NC_000001.11	17024025	17024025	1	*
NC_000001.11	17024028	17024028	1	*
NC_000001.11	17024040	17024040	1	*
NC_000001.11	17024041	17024041	1	*
NC_000001.11	17024043	17024043	1	*
NC_000001.11	17024049	17024049	1	*
NC_000001.11	17024058	17024058	1	*
NC_000001.11	17024062	17024062	1	*
NC_000001.11	17024075	17024075	1	*
NC_000001.11	17024076	17024076	1	*
NC_000001.11	17027763	17027763	1	*
NC_000001.11	17027779	17027779	1	*
NC_000001.11	17027784	17027784	1	*
NC_000001.11	17027787	17027787	1	*
NC_000001.11	17027790	17027790	1	*
NC_000001.11	17027799	17027799	1	*
NC_000001.11	17027805	17027805	1	*
NC_000001.11	17027817	17027817	1	*
NC_000001.11	17027839	17027839	1	*
NC_000001.11	17027844	17027844	1	*
NC_000001.11	17027848	17027848	1	*
NC_000001.11	17027866	17027866	1	*
NC_000001.11	17027867	17027867	1	*
NC_000001.11	17028599	17028599	1	*
NC_000001.11	17028599	17028599	1	*
NC_000001.11	17028599	17028599	1	*
NC_000001.11	17028605	17028605	1	*
NC_000001.11	17028610	17028610	1	*
NC_000001.11	17028628	17028628	1	*
NC_000001.11	17028643	17028643	1	*
NC_000001.11	17028649	17028649	1	*
NC_000001.11	17028649	17028649	1	*
NC_000001.11	17028680	17028680	1	*
NC_000001.11	17028685	17028685	1	*
NC_000001.11	17028685	17028685	1	*
NC_000001.11	17028727	17028727	1	*
NC_000001.11	17028730	17028730	1	*
NC_000001.11	17028731	17028731	1	*
NC_000001.11	17028736	17028736	1	*
NC_000001.11	17028737	17028737	1	*
NC_000001.11	17028738	17028738	1	*
NC_000001.11	17028739	17028739	1	*
NC_000001.11	17033058	17033058	1	*
NC_000001.11	17033059	17033059	1	*
NC_000001.11	17033060	17033060	1	*
NC_000001.11	17033068	17033068	1	*
NC_000001.11	17033069	17033069	1	*
NC_000001.11	17033071	17033071	1	*
NC_000001.11	17033072	17033072	1	*
NC_000001.11	17033075	17033075	1	*
NC_000001.11	17033078	17033078	1	*
NC_000001.11	17033086	17033086	1	*
NC_000001.11	17033086	17033086	1	*
NC_000001.11	17033125	17033125	1	*
NC_000001.11	17033140	17033140	1	*
NC_000001.11	17033143	17033143	1	*
NC_000001.11	17033146	17033146	1	*
NC_000001.11	17033147	17033147	1	*
NC_000001.11	17044760	17044760	1	*
NC_000001.11	17044760	17044760	1	*
NC_000001.11	17044767	17044767	1	*
NC_000001.11	17044778	17044778	1	*
NC_000001.11	17044778	17044778	1	*
NC_000001.11	17044820	17044820	1	*
NC_000001.11	17044824	17044824	1	*
NC_000001.11	17044824	17044824	1	*
NC_000001.11	17044825	17044825	1	*
NC_000001.11	17044825	17044825	1	*
NC_000001.11	17044826	17044826	1	*
NC_000001.11	17044843	17044843	1	*
NC_000001.11	17044873	17044873	1	*
NC_000001.11	17044882	17044882	1	*
NC_000001.11	17044889	17044889	1	*
NC_000001.11	17053947	17053947	1	*
NC_000001.11	17053947	17053947	1	*
NC_000001.11	17053950	17053950	1	*
NC_000001.11	17053994	17053994	1	*
NC_000001.11	17054017	17054017	1	*
NC_000001.11	17054019	17054019	1	*
NC_000001.11	17054019	17054019	1	*
NC_000001.11	17054019	17054019	1	*
NC_000001.11	17262131	17262131	1	*
NC_000001.11	17262194	17262194	1	*
NC_000001.11	17267938	17267938	1	*
NC_000001.11	17270877	17270877	1	*
NC_000001.11	17280704	17280704	1	*
NC_000001.11	17282897	17282897	1	*
